# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = LearningCurve_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = TestData5.data.R
# init = 2 (Default)
# random
#   seed = 212552255
# output
#   file = o1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w_0,w_1,w_2,w_3,w_4,w_5,a_0,b_0,c_1,a_1,alpha_1,a_2,b_2,c_2,a_3,b_3,c_3,alpha_3,alpha_4,beta_4,delta_4,kappa_4,a_5,b_5,c_5,alpha_5,sigma
# Adaptation terminated
# Step size = 0.00234437
# Diagonal elements of inverse mass matrix:
# 1.78476e-005, 2.07457e-005, 1.69872e-005, 3.41313e-005, 3.31942e-005, 1.36465e-005, 6.73486e-005, 4.85006e-005, 5.78233e-005, 1.59139e-005, 0.000110902, 3.94422e-005, 3.77792e-005, 5.74593e-005, 5.41138e-005, 1.5576e-005, 1.75766e-005, 1.42482e-005, 1.52092e-005, 2.87072e-005, 1.91894e-005, 1.00146e-005, 0.00013996, 2.2489e-005, 2.65561e-005, 1.42136e-005, 2.65245e-005
-759.743,0.492647,0.00234437,7,136,1,769.946,1.17534,1.00814,0.355624,0.413164,3.95882,3.90093,-0.256765,1.8808,1.96105,-1.63039,-0.250695,1.77654,-0.849018,-1.5954,1.30288,1.04866,0.255958,0.216139,0.795283,1.69838,-1.53235,0.000367125,1.7326,-1.18416,-0.83709,1.40002,1.57478
-758.816,0.571426,0.00234437,6,105,1,778.612,1.17502,1.00739,0.355569,0.413943,3.95559,3.90167,-0.256783,1.8816,1.96054,-1.63041,-0.250662,1.77759,-0.848149,-1.596,1.30378,1.04797,0.256955,0.215666,0.795348,1.6986,-1.53201,0.000626257,1.73113,-1.18457,-0.837987,1.39985,1.57616
-759.105,0.67364,0.00234437,7,239,1,778.829,1.17523,1.00885,0.355399,0.414941,3.9484,3.89628,-0.254314,1.88202,1.96065,-1.6302,-0.246472,1.77845,-0.850185,-1.59891,1.30393,1.0486,0.255958,0.213968,0.797162,1.69838,-1.53141,0.000429522,1.7341,-1.18455,-0.837574,1.39924,1.57894
-757.428,0.740741,0.00234437,7,216,1,771.492,1.17573,1.00908,0.355226,0.414487,3.95062,3.89675,-0.255691,1.88057,1.96176,-1.63119,-0.246716,1.77825,-0.849791,-1.59852,1.30331,1.04833,0.25612,0.214256,0.797034,1.69784,-1.53207,0.000458517,1.73177,-1.18448,-0.837675,1.39849,1.58048
-757.328,0.636362,0.00234437,5,44,1,772.514,1.17564,1.00907,0.355227,0.414452,3.95079,3.89687,-0.255449,1.88069,1.96173,-1.63127,-0.246797,1.77818,-0.849815,-1.59845,1.30322,1.04829,0.256157,0.214281,0.797035,1.6978,-1.53214,0.000383975,1.73163,-1.18448,-0.837679,1.39853,1.5804
-757.235,0.451613,0.00234437,5,62,1,776.346,1.17529,1.0092,0.3551,0.414517,3.95018,3.89665,-0.255447,1.88107,1.96173,-1.63139,-0.24715,1.77834,-0.849393,-1.59831,1.30331,1.04818,0.256168,0.214523,0.796968,1.69762,-1.53222,0.000290377,1.73139,-1.18438,-0.837729,1.39849,1.58066
-757.224,0.403508,0.00234437,5,57,1,767.677,1.17546,1.00903,0.355188,0.414574,3.9497,3.89692,-0.255533,1.88061,1.96187,-1.6313,-0.247509,1.77858,-0.849124,-1.59812,1.30294,1.04832,0.256349,0.214549,0.797111,1.69755,-1.5323,0.000402985,1.73105,-1.18427,-0.837715,1.39847,1.58035
-755.026,0.554654,0.00234437,7,247,1,773.623,1.17393,1.01113,0.354928,0.414757,3.95649,3.89686,-0.257188,1.88291,1.96059,-1.63262,-0.245899,1.77826,-0.848428,-1.59779,1.3039,1.04866,0.25645,0.214046,0.798199,1.69805,-1.53125,0.000643429,1.72756,-1.18516,-0.838226,1.39841,1.58092
-756.485,0.731176,0.00234437,6,93,1,773.843,1.17461,1.01168,0.354945,0.415053,3.95713,3.89788,-0.257978,1.88272,1.96136,-1.63216,-0.245787,1.77849,-0.849073,-1.5985,1.30495,1.04866,0.255994,0.214341,0.797614,1.69729,-1.53107,0.0011911,1.72796,-1.18581,-0.837241,1.39825,1.57853
-756.284,0.5,0.00234437,7,130,1,774.037,1.17463,1.01181,0.355042,0.414959,3.95761,3.89771,-0.257711,1.88245,1.9613,-1.6321,-0.245847,1.77854,-0.848735,-1.59834,1.30501,1.04881,0.255931,0.214526,0.797649,1.69704,-1.53095,0.00103689,1.72788,-1.18561,-0.837141,1.39829,1.57814
