# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = LearningCurve_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = TestData5.data.R
# init = 2 (Default)
# random
#   seed = 216433608
# output
#   file = o3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w_0,w_1,w_2,w_3,w_4,w_5,a_0,b_0,c_1,a_1,alpha_1,a_2,b_2,c_2,a_3,b_3,c_3,alpha_3,alpha_4,beta_4,delta_4,kappa_4,a_5,b_5,c_5,alpha_5,sigma
# Adaptation terminated
# Step size = 0.0104206
# Diagonal elements of inverse mass matrix:
# 1.32445, 1.43398, 1.00355, 1.07345, 1.71643, 1.33557, 0.178372, 0.727218, 0.8116, 20.8496, 0.2537, 0.0407691, 4.18031, 0.216917, 0.00759749, 0.747556, 0.0715586, 0.0577856, 0.25836, 1.00529, 0.0790404, 0.050814, 0.00268381, 0.304713, 0.0834841, 0.0393361, 0.0992236
0.551451,0.86587,0.0104206,8,464,1,17.6675,2.01795,0.106303,0.437594,2.30677,1.23629,1.87574,0.233759,0.11531,0.109075,4.86826,0.86402,1.12583,5.55112,-0.385276,0.213653,-1.37434,0.992449,-0.188794,0.493553,-2.36779,1.22984,0.497794,0.12804,0.248312,1.08822,0.456502,0.114101
4.38021,0.934553,0.0104206,6,93,1,12.8318,1.85011,0.242746,0.460867,2.265,1.22298,2.08727,0.209318,0.170021,-0.0982868,8.47755,0.932587,1.11047,5.32941,-0.484027,0.185418,-1.54702,0.954038,-0.18869,0.378391,-1.93811,1.0064,0.578603,0.141168,0.25442,1.10332,0.464645,0.115743
5.7804,0.291795,0.0104206,9,511,0,4.42376,1.23664,0.903741,0.272293,1.20995,1.06068,1.42615,0.599505,0.642764,-1.4986,4.39351,0.833541,1.0127,5.9203,-0.997168,0.158747,-1.50966,0.773651,-0.197313,0.412801,-1.16399,0.560388,0.611295,0.147273,-0.0240501,1.20828,0.442685,0.105376
4.27081,0.726575,0.0104206,7,153,1,10.7659,0.416946,1.08844,1.74351,0.776737,1.97097,1.87997,0.643497,-0.00810159,-1.06755,-1.41213,0.385166,0.833311,6.79296,-1.26191,0.334305,-1.51042,0.826584,-0.151364,0.621174,-1.22893,0.579366,0.381165,0.126438,-0.009881,1.06733,0.249464,0.0838353
-6.89764,0.674416,0.0104206,9,511,0,19.0632,0.0553565,0.367588,0.630465,0.454113,0.000550374,0.521777,0.265179,2.98139,0.69906,12.4855,0.960935,1.16235,8.02948,-1.02414,0.0551129,1.75391,0.900867,0.0413244,1.93967,-1.74546,0.307861,0.654237,0.0835811,0.0943847,0.883114,0.545013,0.114763
-6.27259,0.656767,0.0104206,8,511,0,22.1532,0.4231,0.262961,0.467689,2.14911,0.00197754,0.474346,0.0246313,2.80169,0.122387,16.3314,0.761934,1.00116,7.06163,-1.4609,-0.00506827,1.62655,1.14077,0.0589218,1.85391,-0.271402,0.494033,0.409945,0.0426151,0.335098,0.951358,0.331391,0.131982
-2.53039,0.995183,0.0104206,9,511,0,20.5321,0.085239,0.0813327,0.614444,0.580848,2.09698,0.0727339,1.18829,1.2711,1.46258,16.4448,0.155817,1.06339,6.57112,-1.80441,0.250254,-1.06096,0.780437,0.288281,1.85356,-0.972054,-0.0449859,0.604421,0.0402206,0.409782,1.04776,0.700597,0.113074
-4.28336,0.942784,0.0104206,8,265,1,15.6889,0.296802,0.0657877,0.770271,1.14431,0.349085,0.0461917,0.369714,0.976677,0.712511,10.1972,-0.0861019,1.21802,5.62345,-0.823707,0.285297,0.539271,0.541089,0.672276,2.41761,-1.33254,0.237334,0.214054,0.225111,-0.107035,0.934685,0.767869,0.0936804
0.683341,0.712685,0.0104206,8,255,0,18.8448,0.739777,0.312537,2.26191,0.470739,0.4879,0.270466,-0.203043,1.58698,2.35553,6.6213,0.349055,0.977304,7.23716,-1.38846,0.0447854,0.298341,0.932542,0.550646,2.21665,-0.973139,-0.166219,0.553956,0.0937796,0.273287,0.988161,0.644181,0.119467
2.07669,0.583733,0.0104206,9,511,0,14.9513,0.720405,0.141368,0.325793,0.377448,0.692064,0.519093,-0.0127007,1.24427,0.0340961,3.94959,-0.0797774,1.23274,3.72395,-0.875304,0.205917,-0.0358164,0.624957,0.713753,1.76879,-0.426031,0.458996,0.124769,0.10475,0.595711,1.17667,0.233471,0.0822264
