# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = LearningCurve_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = TestData5.data.R
# init = 2 (Default)
# random
#   seed = 71610261
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w_0,w_1,w_2,w_3,w_4,w_5,a_0,b_0,c_1,a_1,alpha_1,a_2,b_2,c_2,a_3,b_3,c_3,alpha_3,alpha_4,beta_4,delta_4,kappa_4,a_5,b_5,c_5,alpha_5,sigma
# Adaptation terminated
# Step size = 0.000751098
# Diagonal elements of inverse mass matrix:
# 0.699857, 0.25231, 0.381245, 0.139555, 0.192968, 0.623771, 0.0319874, 0.386245, 0.413514, 9.41856, 0.00249694, 0.0142808, 0.704212, 0.0630781, 0.00290165, 0.414402, 0.0248374, 0.0329686, 0.0318909, 0.111702, 0.0100299, 0.00727083, 0.00189617, 0.0592584, 0.0103548, 0.00802758, 0.140895
23.4558,0.999967,0.000751098,10,1023,0,-7.47019,1.10194,0.0419528,0.631518,0.441626,0.913968,0.996371,0.166245,1.13734,1.00782,5.63696,-0.100924,1.09873,6.13601,-0.247012,0.174186,1.22728,0.861432,-0.0465291,0.963626,-2.33572,0.32292,0.620408,0.0960749,0.213458,0.865885,0.0835126,0.0952899
22.0058,0.926656,0.000751098,10,1023,0,-9.04512,1.34099,0.0362818,0.561632,0.386174,1.00168,1.37755,0.163146,1.16393,0.973865,4.68091,-0.0818876,1.07264,6.14971,-0.290605,0.17088,1.1813,0.827482,-0.123863,0.96851,-2.3562,0.295857,0.61043,0.118813,0.277431,0.894352,0.101527,0.0786116
22.2529,0.999635,0.000751098,10,1023,0,-12.7089,0.833851,0.03546,0.672893,0.391544,0.847395,1.08778,0.124532,1.56049,0.85196,5.52657,-0.107021,1.23401,5.73695,-0.250056,0.191289,0.820787,0.762666,-0.145241,1.05208,-2.15005,0.341353,0.634343,0.120629,0.431324,0.969654,0.163212,0.076415
22.7351,1,0.000751098,10,1023,0,-13.3706,0.731807,0.0364705,0.808839,0.41642,0.866378,0.931459,0.106359,1.2617,0.83891,5.2766,-0.112518,1.21571,6.07287,-0.336265,0.187047,0.763161,0.640204,-0.108809,0.9818,-2.13613,0.379535,0.669142,0.144702,0.378659,0.968792,0.218107,0.0735519
22.6628,0.999991,0.000751098,10,1023,0,-9.98909,0.801821,0.0368716,1.34288,0.484719,0.780409,0.9768,0.0607302,1.26387,1.52577,5.97447,-0.145832,1.20171,5.85256,-0.274675,0.239562,0.567618,0.57384,-0.0718186,1.00913,-2.10206,0.275502,0.631715,0.139958,0.272699,0.909231,0.231043,0.0638509
24.1631,0.999983,0.000751098,10,1023,0,-11.8613,0.958302,0.0307212,1.0481,0.537593,0.681841,1.00848,0.12673,1.17664,1.72164,7.73282,-0.155081,1.25957,6.25529,-0.272945,0.229964,0.672254,0.640841,-0.0328122,1.07947,-2.30155,0.341745,0.593082,0.131743,0.267563,0.890487,0.181403,0.0788657
24.022,0.999998,0.000751098,10,1023,0,-11.6103,0.863963,0.0372844,1.40259,0.569057,0.847969,1.0693,0.0776189,1.25264,1.07423,7.90761,-0.158641,1.30479,5.92069,-0.33052,0.232752,0.917561,0.692511,-0.00939897,1.04312,-2.22409,0.351501,0.585206,0.127452,0.300799,0.919362,0.175784,0.0825044
23.6089,0.999993,0.000751098,10,1023,0,-11.5796,0.957565,0.0358371,1.42019,0.570521,0.85387,0.77868,0.0828475,1.18654,0.985193,8.42988,-0.159799,1.32665,5.98856,-0.331086,0.243075,0.81915,0.714283,-0.00358518,1.01858,-2.29607,0.328833,0.596989,0.136524,0.281566,0.905629,0.155636,0.0835606
22.9671,0.999999,0.000751098,10,1023,0,-12.2496,1.03023,0.0422372,1.66757,0.544309,0.560796,0.94075,0.0491811,1.40581,1.07097,7.18662,-0.165037,1.29334,5.93551,-0.474554,0.250502,0.569315,0.784847,-0.0566486,1.05472,-2.31739,0.236323,0.650443,0.15002,0.155072,0.96466,0.113406,0.102662
25.1569,0.999982,0.000751098,10,1023,0,-4.61568,1.43049,0.0555188,1.79076,0.456994,0.555895,1.10104,0.0185241,1.57133,0.810537,7.82653,-0.192164,1.24795,6.10657,-0.521541,0.230465,0.211083,0.853979,0.0674319,0.992214,-2.40077,0.297161,0.604624,0.12249,0.277933,0.996091,0.167552,0.114552
